study_id,deeplink
B5091021,https://pfizer-inform.oracleindustry.com/B5091021/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3651002,https://pfizer-inform.oracleindustry.com/C3651002/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3711001,https://pfizer-inform.oracleindustry.com/C3711001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A6281323,https://pfizer-inform.oracleindustry.com/A6281323/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4221016,https://pfizer-inform.oracleindustry.com/C4221016/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3391001,https://pfizer-inform.oracleindustry.com/C3391001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4491006,https://pfizer-inform.oracleindustry.com/C4491006/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3851001,https://pfizer-inform.oracleindustry.com/C3851001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7461027,https://pfizer-inform.oracleindustry.com/B7461027/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4551001,https://pfizer-inform.oracleindustry.com/C4551001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
pfe621104uat,https://pfizer-inform.oracleindustry.com/pfe621104uat/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B1851196,https://pfizer-inform.oracleindustry.com/B1851196/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C0371004,https://pfizer-inform.oracleindustry.com/C0371004/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7451036,https://pfizer-inform.oracleindustry.com/B7451036/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3421012,https://pfizer-inform.oracleindustry.com/C3421012/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C0371002,https://pfizer-inform.oracleindustry.com/C0371002/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3861001,https://pfizer-inform.oracleindustry.com/C3861001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C0801039,https://pfizer-inform.oracleindustry.com/C0801039/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C1061011,https://pfizer-inform.oracleindustry.com/C1061011/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7451014,https://pfizer-inform.oracleindustry.com/B7451014/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3421019,https://pfizer-inform.oracleindustry.com/C3421019/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
